title_id,ganres
1646043,Комедия
1229894,Мелодрама
1229894,Комедия
2753021,Детектив
2753021,Триллер
2691526,Мелодрама
2691526,Комедия
142585,Экшн
142585,Криминал
142585,Боевик
142585,Драма
142585,Комедия
2146503,Криминал
2146503,Боевик
2146503,Драма
2146503,Комедия
1062997,Криминал
1062997,Триллер
1062997,Боевик
2839622,Криминал
2839622,Боевик
2839622,Драма
1226268,Триллер
1226268,Боевик
1226268,Мелодрама
1453509,Мелодрама
1704135,Мелодрама
1200099,Комедия
1206273,Триллер
1206273,Боевик
1206273,Мелодрама
1206273,Драма
1206273,Комедия
1087911,Мелодрама
1087911,Комедия
1630722,Приключения
1630722,Анимация
2079170,Экшн
2079170,Семейный
2079170,Детский
2079170,История
2079170,Боевик
2079170,Фэнтези
2079170,Приключения
2079170,Анимация
2225372,Детский
2225372,Приключения
2520987,Детский
2520987,Комедия
2520987,Спорт
2755321,Фантастика
2755321,Приключения
2928522,Фантастика
2928522,Боевик
2928522,Приключения
1699761,Анимация
1408413,Приключения
1388961,Фантастика
1388961,Приключения
1452694,Комедия
1452694,Приключения
1452694,Сказка
1304709,Приключения
1171609,Приключения
1624881,Приключения
1957366,Детский
1957366,Путешествия
2240561,Детский
2524566,Семейный
2524566,Короткометражка
2524566,Фантастика
2524566,Боевик
2524566,Фэнтези
2524566,Комедия
2524566,Приключения
2573108,Семейный
2573108,Детский
2717725,Детский
2717725,Фантастика
2717725,Боевик
2717725,Комедия
2717725,Анимация
1085330,Боевик
1085330,Комедия
2693556,Детский
2693556,Фантастика
2693556,Боевик
2693556,Приключения
2612548,Детский
1606686,Приключения
1711576,Приключения
1832212,Комедия
1832212,Приключения
1745050,Приключения
2713215,Семейный
2713215,Детский
2713215,Приключения
2713215,Анимация
2266606,Семейный
2266606,Детский
2266606,Фантастика
2266606,Анимация
1320732,Приключения
2638162,Сказка
1759834,Приключения
1759834,Сказка
1759834,Анимация
2628330,Фэнтези
2628330,Приключения
2753412,Детский
2753412,Фантастика
2753412,Боевик
2753412,Комедия
1220331,Комедия
1220331,Приключения
2628336,Фэнтези
2628336,Приключения
1460964,Фэнтези
1460964,Комедия
1460964,Приключения
2628333,Фэнтези
2628333,Приключения
1936248,Семейный
1936248,Фантастика
1936248,Фэнтези
1936248,Приключения
2002264,Семейный
2628337,Фэнтези
2628337,Приключения
1156404,Культура
1327362,Информация
1327363,Информация
1327361,Концерт
560804,Культура
560804,История
560804,Биография
1803426,Информация
1074119,Клип
1257371,История
1257371,Биография
956666,Драма
1807290,Информация
43026,История
43026,Биография
1307703,История
1307703,Общество
1807318,Информация
1025762,Природа
1100222,Общество
1165266,История
1165266,Общество
1038548,Информация
984818,Природа
1804318,Информация
1804308,Информация
1021832,Приключения
1021832,Сказка
1327877,Информация
1109942,История
1449843,Скетч
1449843,Юмор
1238851,История
1238851,Общество
2345003,Информация
1100223,Культура
1100223,История
1100223,Биография
1335669,Концерт
1165236,Мелодрама
1165236,Комедия
1447939,Интервью
1097812,Экономика
1413445,Экология
2693582,Информация
1120825,Культура
1253450,Информация
1598272,Информация
1124728,Информация
1668102,Информация
1584028,Информация
1584028,Спорт
1370702,Обзор
1701021,Информация
1721948,Информация
1661909,Информация
1875602,Информация
1875602,Интервью
2927948,Информация
2927948,Общество
2927948,Просвещение
2927948,Репортаж
2311897,Информация
1338497,Информация
1338511,Информация
1338509,Аналитика
1338509,Экономика
389773,Наука
2316611,Информация
2941420,Информация
2941420,Общество
2941420,Просвещение
2941420,Репортаж
1603603,Информация
2234093,Бизнес
1250486,Интервью
1318714,Культура
2827376,Информация
2827376,Развлечения
2827376,Общество
1636716,Информация
1636716,Интервью
1177508,Бизнес
1111677,Интервью
3024349,Информация
3024349,Общество
3024349,Просвещение
3024349,Репортаж
2711421,Информация
1823613,Информация
1823613,Общество
1823613,Просвещение
1823613,Репортаж
2847555,Информация
2847555,Общество
2847555,Просвещение
2847555,Репортаж
2816611,Информация
2816611,Общество
2816611,Просвещение
2816611,Репортаж
1643365,Информация
1643365,Интервью
1217413,Информация
3010781,Информация
3010781,Общество
3010781,Просвещение
3010781,Репортаж
1601947,Информация
2987318,Информация
2987318,Общество
2987318,Просвещение
2987318,Репортаж
1732079,Информация
1239816,Обзор
1239816,Информация
1239816,Репортаж
1875609,Информация
2528595,Общество
3017550,Драма
1159537,Культура
1380937,Информация
1380937,Аналитика
1422305,Информация
2706688,Информация
2963351,Обучение
2963351,Информация
2963351,Общество
2963351,Просвещение
1137962,Информация
1728606,Информация
1486573,Информация
1732077,Информация
2216205,Информация
1697867,География
2706687,Информация
2706687,Развлечения
2706687,Общество
2706687,Репортаж
1338496,Репортаж
1405104,Информация
1326523,Информация
1312609,Информация
1485274,Биография
1485274,Исследование
1071385,Развлечения
2967386,Обучение
2967386,Информация
